time,signal,type,entry,sl,tp,exit,pnl_raw,pnl_weighted,position,breakout_prob,reason,result,month
2025-03-19 10:05:00,LONG,STRONG,1943.97,1939.1442857142856,1950.4042857142858,1950.4042857142858,0.33098688324849695,0.19859212994909817,60,50,放量趋势,WIN,2025-03
2025-03-19 10:30:00,LONG,STRONG,1983.21,1976.2868571428571,1997.6332142857143,1976.2868571428571,-0.34908773438732765,-0.27927018750986216,80,65,强突破,LOSS,2025-03
2025-03-19 10:35:00,LONG,STRONG,1966.4,1958.0231428571428,1983.8517857142858,1983.8517857142858,0.887499273509242,0.5324995641055452,60,25,放量趋势,WIN,2025-03
2025-03-19 11:10:00,LONG,STRONG,2009.72,1995.554,2039.2325,1995.554,-0.7048743108492695,-0.4229245865095617,60,55,强突破,LOSS,2025-03
2025-03-19 14:05:00,LONG,STRONG,2035.51,2023.5322857142858,2060.4635714285714,2023.5322857142858,-0.5884379976376548,-0.3530627985825929,60,45,强突破,LOSS,2025-03
2025-03-19 15:05:00,LONG,STRONG,2037.3,2027.9219999999998,2056.8375,2027.9219999999998,-0.46031512295686233,-0.2761890737741174,60,25,放量趋势,LOSS,2025-03
2025-03-19 15:30:00,LONG,STRONG,2037.6,2029.7502857142856,2053.953571428571,2053.953571428571,0.802589881653479,0.48155392899208743,60,25,放量趋势,WIN,2025-03
2025-03-19 15:35:00,LONG,STRONG,2039.89,2031.6725714285715,2057.0096428571433,2057.0096428571433,0.8392434325940693,0.5035460595564416,60,25,放量趋势,WIN,2025-03
2025-03-19 15:40:00,LONG,STRONG,2047.33,2039.08,2064.5175,2039.08,-0.4029638602472489,-0.24177831614834933,60,55,放量趋势,LOSS,2025-03
2025-03-19 15:45:00,LONG,STRONG,2049.39,2041.0585714285712,2066.747142857143,2041.0585714285712,-0.4065321179194131,-0.24391927075164788,60,55,强突破,LOSS,2025-03
2025-03-19 15:50:00,LONG,STRONG,2052.81,2044.26,2070.6225,2044.26,-0.4165022578806589,-0.24990135472839536,60,55,强突破,LOSS,2025-03
2025-03-19 15:55:00,LONG,STRONG,2049.3,2040.521142857143,2067.589285714286,2040.521142857143,-0.42838321099190346,-0.25702992659514207,60,25,放量趋势,LOSS,2025-03
2025-03-19 21:05:00,LONG,STRONG,2040.71,2034.704,2053.2225,2053.2225,0.6131444448255665,0.3678866668953399,60,25,放量趋势,WIN,2025-03
2025-03-19 22:00:00,LONG,STRONG,2038.6,2032.5922857142857,2051.116071428571,2051.116071428571,0.6139542543201802,0.36837255259210816,60,35,放量趋势,WIN,2025-03
2025-03-19 22:35:00,LONG,STRONG,2046.57,2040.9942857142858,2058.1860714285713,2058.1860714285713,0.5675873011219422,0.3405523806731653,60,15,放量趋势,WIN,2025-03
2025-03-19 22:40:00,LONG,STRONG,2053.31,2047.1805714285713,2066.079642857143,2047.1805714285713,-0.2985145239359211,-0.17910871436155265,60,45,强突破,LOSS,2025-03
2025-03-19 22:45:00,LONG,STRONG,2054.63,2048.15,2068.13,2048.15,-0.315385251845832,-0.1892311511074992,60,25,放量趋势,LOSS,2025-03
