time,signal,type,entry,sl,tp,exit,pnl_raw,pnl_weighted,position,breakout_prob,volatility,reason,result,month
2026-01-08 03:40:00,SHORT,STRONG,3139.99,3146.585714285714,3121.8517857142856,3146.585714285714,-0.21005526405224753,-0.19955250084963516,95,55,0.0021005526405225164,强突破,LOSS,2026-01
2026-01-08 05:50:00,SHORT,STRONG,3144.18,3150.8282142857142,3135.5373214285714,3135.5373214285714,0.27487861927206475,0.13469052344331173,49,60,0.0014096339449849787,强突破,WIN,2026-01
2026-01-08 06:05:00,SHORT,STRONG,3138.17,3144.643142857143,3124.144857142857,3124.144857142857,0.4469210672826277,0.3128447470978394,70,60,0.001718927181856234,强突破,WIN,2026-01
2026-01-08 06:10:00,SHORT,STRONG,3131.99,3138.944857142857,3111.125428571428,3111.125428571428,0.6661761828285439,0.2997792822728447,45,70,0.001850489396745948,放量趋势,WIN,2026-01
2026-01-08 06:15:00,SHORT,STRONG,3121.7,3128.1592857142855,3100.707321428571,3128.1592857142855,-0.20691564577908417,-0.14484095204535893,70,65,0.002069156457790873,强突破,LOSS,2026-01
2026-01-08 06:20:00,SHORT,STRONG,3114.32,3121.7428571428572,3093.907142857143,3121.7428571428572,-0.23834599986055005,-0.22642869986752256,95,55,0.002383459998605532,强突破,LOSS,2026-01
2026-01-08 06:25:00,SHORT,STRONG,3117.62,3125.435,3096.12875,3096.12875,0.689347964152143,0.6548805659445358,95,55,0.0025067198696441693,放量趋势,WIN,2026-01
2026-01-08 07:00:00,SHORT,STRONG,3101.67,3111.727142857143,3068.9842857142858,3111.727142857143,-0.3242492869048911,-0.22697450083342374,70,65,0.0032424928690488893,强突破,LOSS,2026-01
2026-01-08 14:00:00,SHORT,STRONG,3083.52,3090.1997142857144,3071.273857142857,3090.1997142857144,-0.21662626756805384,-0.20579495418965113,95,50,0.0018052188964003994,强突破,LOSS,2026-01
2026-01-08 14:40:00,SHORT,STRONG,3059.2,3070.087857142857,3029.2583928571426,3070.087857142857,-0.35590537208607576,-0.338110103481772,95,55,0.003559053720860736,强突破,LOSS,2026-01
2026-01-08 20:00:00,SHORT,STRONG,3098.82,3106.0857142857144,3078.839285714286,3106.0857142857144,-0.23446712896245145,-0.2227437725143289,95,55,0.002344671289624546,强突破,LOSS,2026-01
2026-01-08 23:55:00,SHORT,STRONG,3106.6,3112.010714285714,3099.5660714285714,3112.010714285714,-0.17416836044917983,-0.08534249662009812,49,60,0.0011611224029945254,放量趋势,LOSS,2026-01
2026-01-09 00:00:00,SHORT,STRONG,3107.61,3112.9821428571427,3100.6262142857145,3112.9821428571427,-0.1728705615293597,-0.08470657514938626,49,60,0.0011524704101957765,放量趋势,LOSS,2026-01
2026-01-09 00:10:00,SHORT,STRONG,3111.62,3116.970714285714,3101.988714285714,3116.970714285714,-0.1719591172994863,-0.05330732636284075,31,70,0.0011463941153299017,放量趋势,LOSS,2026-01
2026-01-09 08:05:00,SHORT,STRONG,3107.61,3113.919642857143,3096.252642857143,3113.919642857143,-0.20303843973802985,-0.06294191631878925,31,70,0.0013535895982534907,放量趋势,LOSS,2026-01
2026-01-09 08:35:00,SHORT,STRONG,3098.82,3105.6634285714285,3086.2737142857145,3086.2737142857145,0.40487300696025125,0.3846293566122387,95,50,0.0018403318498193249,强突破,WIN,2026-01
2026-01-09 08:40:00,SHORT,STRONG,3087.31,3093.9014285714284,3069.183571428571,3069.183571428571,0.5871269348212111,0.5577705880801506,95,55,0.00213500703571347,强突破,WIN,2026-01
2026-01-09 08:45:00,SHORT,STRONG,3074.6,3082.322142857143,3049.5030357142855,3082.322142857143,-0.2511592681045632,-0.17581148767319424,70,65,0.002511592681045621,强突破,LOSS,2026-01
2026-01-09 08:50:00,SHORT,STRONG,3070.87,3079.13,3044.025,3079.13,-0.2689791492313325,-0.18828540446193273,70,65,0.0026897914923132505,强突破,LOSS,2026-01
