timestamp,open,high,low,close,volume,datetime
1769907600000,2452.16,2455.85,2432.47,2441.0,2279.390122,2026-02-01 01:00:00
1769908500000,2440.98,2454.0,2429.03,2452.6,2624.745926,2026-02-01 01:15:00
1769909400000,2452.51,2453.31,2434.75,2436.65,1943.886501,2026-02-01 01:30:00
1769910300000,2436.66,2447.44,2435.6,2444.64,1369.413203,2026-02-01 01:45:00
1769911200000,2444.64,2458.62,2440.28,2456.85,1758.386238,2026-02-01 02:00:00
1769912100000,2456.85,2458.0,2444.4,2446.41,560.637247,2026-02-01 02:15:00
1769913000000,2446.42,2455.3,2446.08,2451.64,977.107576,2026-02-01 02:30:00
1769913900000,2451.69,2461.73,2451.36,2452.61,935.794889,2026-02-01 02:45:00
1769914800000,2452.8,2456.69,2446.7,2449.54,586.076378,2026-02-01 03:00:00
1769915700000,2449.55,2450.99,2438.17,2443.16,1013.071685,2026-02-01 03:15:00
1769916600000,2443.16,2446.6,2438.71,2440.81,982.979032,2026-02-01 03:30:00
1769917500000,2441.0,2446.0,2440.92,2445.62,622.737774,2026-02-01 03:45:00
1769918400000,2445.56,2453.83,2441.56,2452.3,1800.405856,2026-02-01 04:00:00
1769919300000,2452.28,2454.95,2446.0,2448.28,1800.884557,2026-02-01 04:15:00
1769920200000,2448.22,2453.19,2447.46,2452.71,658.845466,2026-02-01 04:30:00
1769921100000,2452.71,2454.27,2448.31,2448.31,740.258871,2026-02-01 04:45:00
1769922000000,2448.31,2449.46,2435.54,2441.24,2088.460744,2026-02-01 05:00:00
1769922900000,2441.15,2449.15,2435.85,2447.72,1324.160904,2026-02-01 05:15:00
1769923800000,2447.67,2448.41,2424.3,2427.1,2444.54243,2026-02-01 05:30:00
1769924700000,2427.6,2432.4,2424.83,2430.91,1394.245573,2026-02-01 05:45:00
1769925600000,2430.9,2438.45,2430.81,2437.71,996.337294,2026-02-01 06:00:00
1769926500000,2437.71,2440.37,2433.41,2433.69,488.103128,2026-02-01 06:15:00
1769927400000,2433.7,2436.0,2408.37,2419.31,3579.566883,2026-02-01 06:30:00
1769928300000,2419.31,2423.4,2411.17,2418.6,2492.290337,2026-02-01 06:45:00
1769929200000,2418.61,2419.69,2396.61,2399.69,5309.153467,2026-02-01 07:00:00
1769930100000,2399.66,2408.94,2393.62,2407.71,2779.447565,2026-02-01 07:15:00
1769931000000,2407.71,2438.85,2405.41,2431.35,4003.849554,2026-02-01 07:30:00
1769931900000,2431.35,2431.82,2410.26,2411.61,2239.500247,2026-02-01 07:45:00
1769932800000,2411.6,2417.79,2409.75,2413.16,3126.591892,2026-02-01 08:00:00
1769933700000,2413.0,2414.31,2396.65,2404.6,3228.387228,2026-02-01 08:15:00
1769934600000,2404.59,2428.87,2403.26,2426.25,2057.43827,2026-02-01 08:30:00
1769935500000,2426.23,2426.23,2412.23,2413.15,1790.030187,2026-02-01 08:45:00
1769936400000,2413.16,2420.85,2406.81,2417.65,1382.574061,2026-02-01 09:00:00
1769937300000,2417.66,2418.65,2410.15,2413.6,1039.536726,2026-02-01 09:15:00
1769938200000,2413.59,2428.94,2413.15,2426.8,1015.433263,2026-02-01 09:30:00
1769939100000,2426.8,2437.9,2421.56,2432.42,1225.738923,2026-02-01 09:45:00
1769940000000,2432.45,2439.15,2426.93,2437.65,1278.687422,2026-02-01 10:00:00
1769940900000,2437.65,2437.65,2427.06,2430.0,967.60634,2026-02-01 10:15:00
1769941800000,2430.05,2430.99,2385.71,2386.12,6853.749111,2026-02-01 10:30:00
1769942700000,2385.8,2395.25,2376.48,2381.01,2764.010947,2026-02-01 10:45:00
1769943600000,2381.01,2394.61,2381.01,2393.57,1424.031554,2026-02-01 11:00:00
1769944500000,2393.48,2393.48,2384.0,2387.6,723.739583,2026-02-01 11:15:00
1769945400000,2387.65,2423.93,2387.51,2420.4,2965.448248,2026-02-01 11:30:00
1769946300000,2420.41,2422.81,2409.62,2412.04,1693.659104,2026-02-01 11:45:00
1769947200000,2412.05,2412.65,2405.8,2407.01,743.832302,2026-02-01 12:00:00
1769948100000,2407.0,2407.0,2383.42,2394.77,3656.125324,2026-02-01 12:15:00
1769949000000,2394.76,2409.08,2390.93,2393.05,3245.261733,2026-02-01 12:30:00
1769949900000,2393.06,2398.6,2393.06,2395.79,2104.930828,2026-02-01 12:45:00
1769950800000,2395.8,2410.34,2395.79,2405.31,1640.668752,2026-02-01 13:00:00
1769951700000,2405.31,2409.86,2396.33,2399.45,1494.72761,2026-02-01 13:15:00
1769952600000,2399.49,2401.8,2385.0,2393.0,3076.991299,2026-02-01 13:30:00
1769953500000,2392.95,2395.67,2369.68,2381.05,4092.619657,2026-02-01 13:45:00
1769954400000,2381.07,2389.45,2372.2,2377.25,3603.356951,2026-02-01 14:00:00
